pid,sid,rank
2836,4827,2
2763,4885,6
2734,3409,4
2899,3700,0
2907,4441,4
2820,4424,5
2699,4744,6
2863,4009,5
2679,4929,1
2838,2739,2
2624,2739,3
2802,2739,4
2855,4805,5
2631,4009,0
2731,4885,14
2667,4704,6
2777,4867,0
2721,4632,0
2829,4632,2
2717,4772,1
2747,4066,1
2792,3685,4
2762,4850,1
2652,4986,10
2676,5015,4
2805,3516,6
2722,3536,10
2711,4830,2
2829,3536,13
2800,4769,0
2873,3536,3
2719,3542,5
2641,4717,5
2844,4775,4
2866,3710,1
2725,4642,4
2734,4769,1
2708,4769,2
2754,4769,3
2775,4779,5
2916,5076,1
2696,4971,4
2747,4744,3
2703,4905,3
2641,4772,7
2845,5076,3
2838,3699,1
2791,3716,3
2701,4775,1
2777,5021,1
2795,4441,0
2688,5082,2
2835,3700,24
2910,5076,10
2864,4775,10
2771,4766,4
2686,5021,5
2617,4938,0
2804,4651,10
2671,4059,2
2742,3477,0
2660,3607,7
2882,4902,3
2795,4938,1
2814,4902,4
2667,3734,5
2708,4938,4
2656,3516,3
2823,4469,11
2871,4811,7
2683,5012,0
2899,3715,0
2657,3516,1
2712,3607,1
2701,3721,2
2771,3700,7
2619,3710,0
2720,4717,3
2836,4441,3
2717,3700,18
2901,3700,19
2657,3700,20
2853,3467,1
2718,3542,0
2701,4867,2
2771,3689,3
2890,4867,3
2808,4867,1
2890,4986,0
2813,4805,4
2705,5055,0
2836,5055,1
2645,5055,2
2643,5055,3
2784,3695,2
2771,3695,11
2703,5012,50
2640,5012,49
2804,3607,3
2643,5068,7
2768,4968,3
2716,4639,4
2684,4968,4
2828,4968,5
2774,4632,1
2763,4632,3
2760,4796,2
2652,4009,2
2770,4968,6
2784,4968,2
2764,4059,1
2777,5012,48
2882,5015,0
2802,5055,4
2709,5055,5
2907,4772,5
2854,3467,7
2809,4899,5
2722,4899,4
2649,5064,0
2719,3460,1
2698,4645,7
2870,4811,2
2772,4952,11
2780,5012,44
2873,5064,2
2697,4870,9
2795,4952,4
2837,5012,30
2808,5012,33
2798,5012,34
2810,5012,35
2817,3477,5
2677,4744,7
2716,4946,0
2870,4066,2
2746,4066,3
2700,3734,4
2814,4949,6
2668,4059,5
2662,4938,7
2710,3716,4
2746,4974,4
2824,4867,4
2746,4799,1
2752,4066,10
2753,4066,11
2841,5015,7
2702,5015,2
2735,4632,7
2688,3695,12
2771,4866,6
2640,3542,2
2657,3607,0
2656,3409,5
2834,4870,21
2773,4968,0
2815,3467,9
2711,4744,1
2904,3695,6
2904,4870,15
2734,3607,6
2772,3695,10
2731,5070,2
2800,3712,5
2910,4693,0
2918,4693,3
2681,3700,5
2818,3700,23
2673,4968,1
2657,4717,1
2656,4717,0
2864,4946,5
2751,3700,10
2835,4796,5
2647,5068,9
2836,5068,10
2890,5068,11
2772,5012,38
2770,5012,39
2814,5021,2
2915,3715,3
2686,3542,24
2830,4632,5
2682,5012,1
2835,4441,2
2860,3700,11
2624,3700,12
2881,3700,13
2747,5015,3
2680,3700,4
2899,4952,13
2908,4952,2
2778,5012,18
2717,5012,24
2731,5021,4
2679,5012,15
2835,5012,5
2903,3695,9
2673,4802,17
2712,4802,18
2814,4985,0
2648,3460,4
2720,4908,4
2794,3542,23
2731,4938,9
2917,4794,0
2616,4651,8
2855,4059,6
2794,4814,3
2667,3700,14
2702,4882,6
2676,4949,1
2666,4779,2
2758,3439,4
2767,3724,5
2649,4986,11
2708,3829,2
2810,4772,3
2687,4899,2
2702,4144,9
2886,2739,1
2809,4673,7
2803,4673,8
2653,4673,3
2878,4899,6
2803,4938,6
2701,4985,15
2650,4938,5
2789,4144,6
2648,3829,0
2864,4144,4
2696,4827,8
2663,4938,8
2916,4896,7
2702,4985,14
2803,4946,3
2640,4704,4
2802,4632,9
2772,4985,3
2904,4986,18
2910,3508,0
2652,3829,5
2903,3724,6
2901,3715,1
2789,3467,6
2744,3542,16
2712,3542,19
2834,3542,20
2841,3542,1
2744,3607,5
2719,4986,5
2800,5012,45
2708,4917,0
2647,4917,2
2719,4802,7
2795,5015,5
2617,4066,4
2745,4066,5
2809,3338,2
2702,4814,1
2718,4986,1
2731,4066,6
2619,4066,7
2645,4066,8
2643,4066,9
2717,4700,0
2666,4980,1
2841,4985,9
2890,4985,6
2655,4917,3
2696,4859,2
2690,4905,9
2702,5070,7
2708,4799,3
2886,5070,8
2846,3605,7
2701,5070,9
2839,3607,4
2838,5070,10
2804,5070,11
2699,5076,6
2743,4902,5
2741,4902,6
2696,5076,5
2890,4469,9
2715,4911,1
2761,4911,0
2822,4911,4
2798,4911,3
2760,4917,4
2770,4917,1
2803,4935,1
2673,4645,2
2823,3605,2
2672,4805,0
2866,3605,4
2619,3605,5
2812,3605,3
2773,4985,5
2708,2642,3
2719,4985,13
2734,4943,3
2784,4870,11
2667,4911,2
2649,4911,7
2652,4985,4
2700,4066,0
2706,4958,4
2673,4850,7
2762,4808,1
2766,4808,3
2761,4808,2
2891,4424,3
2862,4986,17
2767,4986,19
2836,4986,20
2650,5070,0
2700,5070,1
2910,5012,57
2906,3706,3
2836,2719,1
2906,4964,0
2914,4863,6
2746,5068,2
2838,5012,46
2652,4651,0
2657,3449,4
2686,4009,4
2789,5064,1
2728,3535,17
2835,2719,2
2908,3535,15
2684,3535,16
2844,5048,5
2899,3535,18
2915,2719,3
2704,4850,8
2757,2719,4
2799,3519,4
2745,4619,2
2692,4859,5
2918,4899,3
2803,4863,5
2631,4779,0
2813,5064,5
2700,5068,4
2914,4714,3
2671,4902,9
2829,4714,4
2672,4714,5
2749,3592,4
2907,5012,16
2806,4902,1
2765,5012,21
2767,5012,22
2766,5012,23
2859,3605,6
2878,5012,26
2800,4469,14
2802,4144,5
2719,4687,11
2904,5012,14
2832,3599,0
2655,5070,3
2728,4651,3
2666,4911,6
2914,4911,5
2712,4943,4
2836,4693,8
2806,4935,0
2835,4693,9
2701,4693,10
2835,3535,8
2791,3535,4
2834,3535,5
2631,3605,1
2906,4469,4
2681,3912,0
2695,3912,3
2882,4896,8
2693,4651,13
2694,4651,14
2904,4651,6
2907,4651,7
2848,3605,0
2745,4799,2
2830,4651,1
2703,3727,8
2645,3467,0
2666,4144,3
2708,3720,2
2794,3467,5
2712,4717,2
2782,4760,0
2616,4763,1
2919,4999,0
2683,4827,5
2848,4626,2
2671,4908,0
2630,4908,1
2878,3271,2
2702,5012,51
2690,5012,53
2689,5012,54
2688,5012,55
2822,5012,56
2898,4721,3
2835,4827,3
2809,3851,4
2767,3851,3
2782,5012,7
2806,4908,5
2714,4908,2
2734,4908,3
2907,4870,3
2841,4619,4
2819,4629,3
2868,4629,5
2886,4629,7
2701,4629,4
2772,4971,1
2784,4985,8
2752,3710,4
2795,4827,4
2782,3508,2
2787,4651,9
2878,3700,9
2656,5012,3
2800,3542,9
2754,3542,7
2824,3409,8
2746,5064,3
2681,4870,8
2704,4870,12
2766,3851,6
2842,3851,5
2902,5012,29
2708,4619,5
2848,3599,6
2649,4885,5
2679,3535,19
2681,3535,20
2775,3599,10
2716,3599,9
2878,3721,3
2734,3542,12
2868,3710,3
2826,3710,2
2667,5070,5
2800,4693,1
2791,4971,6
2728,7973,2
2683,7973,3
2810,6856,1
